liquidate_thresh,build_thresh,PnL,Max_Drawdown,total_trades,win_perc,avg_ret_per_trade,avg_profit_per_win_trade,avg_loss_per_loss_trade
0.13,0.43,30674.806258149438,2652.157140502324,1895.0,52.0844327176781,16.187232853904717,166.85493402825065,-147.5892220569754
0.13,0.435,31247.509138943176,2652.157140502324,1883.0,52.09771640998406,16.59453485870588,167.1661198796334,-147.16458366183687
0.13,0.44,31584.687095236477,2652.157140502324,1865.0,52.17158176943699,16.93548905910803,167.5052179938005,-147.30705158377913
0.13,0.445,32132.134174448096,2652.157140502324,1846.0,52.22101841820152,17.406356540871126,168.0836777935665,-147.27951385323092
0.13,0.45,33643.692302065276,2652.157140502324,1832.0,52.40174672489083,18.36446086357275,168.83445251429893,-147.29057581612565
0.13,0.455,33878.88707468285,2652.157140502324,1822.0,52.46981339187706,18.594339777542725,168.89727840129817,-147.32899662466292
0.13,0.46,34094.208684885554,2652.157140502324,1805.0,52.63157894736842,18.888758274174823,168.75360060272192,-147.62773320198863
0.13,0.465,33616.158373243874,2652.157140502324,1789.0,52.54332029066517,18.790474216458286,168.9348083979413,-147.4470689291177
0.13,0.47000000000000003,32525.29181696438,2652.157140502324,1776.0,52.53378378378378,18.313790437479945,168.57147159677828,-147.98563604131627
0.13,0.47500000000000003,32984.90786511509,2652.157140502324,1762.0,52.49716231555052,18.720152023334332,169.54386346633575,-147.96077161439115
0.13,0.48000000000000004,32808.47866357819,2652.157140502324,1749.0,52.42995997712979,18.75842119129685,169.92412824355057,-147.85089775932389
0.13,0.48500000000000004,32874.638817192754,2652.157140502324,1731.0,52.45522819179666,18.991703533906847,170.27782854041092,-147.9193554040101
0.13,0.49000000000000005,32550.44547525102,2652.157140502324,1717.0,52.475247524752476,18.957743433460116,169.5459935796103,-147.3167827695805
0.13,0.49500000000000005,31854.707347108197,2652.157140502324,1703.0,52.37815619495009,18.70505422613517,169.73359119030732,-147.40771392681364
0.13,0.5,33112.45497772585,2652.157140502324,1688.0,52.48815165876777,19.616383280643277,169.82380790441266,-146.32348980746087
0.13,0.5050000000000001,34280.060469346514,2652.157140502324,1672.0,52.63157894736842,20.50242851037471,170.80629157502074,-146.50186378367627
0.13,0.51,34212.571354941974,2652.157140502324,1660.0,52.71084337349398,20.609982743940947,170.23988065824875,-146.17493531340853
0.13,0.5150000000000001,35377.45375864404,2652.157140502324,1644.0,52.98053527980535,21.519132456596132,170.17412359218423,-145.98215768453872
0.13,0.52,34449.76649227973,2652.157140502324,1618.0,53.15203955500618,21.291573851841612,169.37960169581845,-146.72386670992614
0.13,0.5250000000000001,32957.001763791865,2652.157140502324,1598.0,53.00375469336671,20.62390598485098,169.1051816782603,-146.8376659356785
0.13,0.53,32417.50877336089,2652.157140502324,1585.0,52.93375394321767,20.45268692325608,169.28691891264327,-146.93594664121545
0.13,0.5350000000000001,33591.730568353596,2652.157140502324,1578.0,53.041825095057035,21.28753521441926,169.63572212666992,-146.27985000225235
0.13,0.54,34145.48327626528,2652.157140502324,1551.0,53.25596389426177,22.01514073260173,170.00500261786527,-146.5912398428846
0.13,0.5450000000000002,33821.51645357063,2652.157140502324,1537.0,53.28562134027326,22.004890340644522,169.62523726804915,-146.3809928537068
0.13,0.55,34929.57235761566,2652.157140502324,1520.0,53.55263157894738,22.979981814220828,169.54198175990794,-146.00226741494228
0.13,0.5550000000000002,33955.784368180626,2652.157140502324,1505.0,53.2890365448505,22.56198296889078,169.82320458170673,-145.4373054144353
0.13,0.56,32458.858032825512,2652.157140502324,1490.0,53.15436241610738,21.784468478406385,169.2213240938441,-145.50778030014163
0.13,0.5650000000000002,32092.805865241055,2652.157140502324,1463.0,52.97334244702666,21.936299292714324,169.5665959337648,-144.3623633480036
0.135,0.43,31233.942256450566,2652.157140502324,1900.0,52.31578947368421,16.438916977079245,165.95879557157667,-147.60386373255673
0.135,0.435,31806.645137244304,2652.157140502324,1888.0,52.33050847457628,16.846740009133637,166.26233452852657,-147.1783793077107
0.135,0.44,32143.82309353756,2652.157140502324,1870.0,52.406417112299465,17.189210210447893,166.5916326737059,-147.3213223895436
0.135,0.445,32691.27017274918,2652.157140502324,1851.0,52.45813074014046,17.661410141949855,167.1574544853368,-147.29388424149144
0.135,0.45,34380.19665514324,2652.157140502324,1836.0,52.66884531590414,18.7255973067229,167.89896310857387,-147.27054162352988
0.135,0.455,34615.39142776084,2652.157140502324,1826.0,52.73822562979189,18.956950398554678,167.9574465876479,-147.30895670468595
0.135,0.46,34720.08342049454,2652.157140502324,1809.0,52.84687672747375,19.19297038169958,167.93388495902198,-147.5084532243029
0.135,0.465,34297.54814314627,2652.157140502324,1793.0,52.760736196319016,19.128582344197586,168.16396234312614,-147.32651739486548
0.135,0.47000000000000003,33206.68158686679,2652.157140502324,1780.0,52.752808988764045,18.65543909374539,167.79720072665245,-147.86550522646823
0.135,0.47500000000000003,33666.2976350175,2652.157140502324,1766.0,52.71800679501699,19.063588694800398,168.75667259816663,-147.83971802859352
0.135,0.48000000000000004,33489.86843348062,2652.157140502324,1753.0,52.65259555048488,19.104317417844047,169.12764255890403,-147.7288501787803
0.135,0.48500000000000004,33556.02858709521,2652.157140502324,1735.0,52.68011527377522,19.340650482475624,169.4711781151267,-147.79613667494579
0.135,0.49000000000000005,33231.835245153445,2652.157140502324,1721.0,52.701917489831494,19.309607928619084,168.73795887294543,-147.19102389755264
0.135,0.49500000000000005,32536.097117010504,2652.157140502324,1707.0,52.60691271236087,19.06039667077358,168.9162047041054,-147.2814026047912
